created_at,"field1(Temperature ºC )",field2(Humidity),field3(Voltage),"field4(WIFI RSSI)",field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-06-04T17:15:19-04:00,22.4872,55.6451,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:15:21-04:00,,,,-53,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:16:20-04:00,22.5006,55.6252,4.0293,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:16:22-04:00,,,,-54,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:17:19-04:00,22.5006,55.671,4.0293,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:17:21-04:00,,,,-54,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:18:20-04:00,22.5006,55.8053,4.0293,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:18:22-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:19:21-04:00,22.5006,55.7031,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:19:23-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:20:20-04:00,22.5006,55.7137,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:20:22-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:21:21-04:00,22.5006,55.7031,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:21:23-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:22:22-04:00,22.4872,55.758,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:22:24-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:23:21-04:00,22.4872,55.7,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:23:23-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:24:22-04:00,22.5006,55.8495,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:24:24-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:25:23-04:00,22.5006,55.7275,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:25:25-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:26:22-04:00,22.4872,55.9045,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:26:24-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:27:23-04:00,22.4872,55.8144,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:27:25-04:00,,,,-54,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:28:24-04:00,22.5006,55.6939,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:28:26-04:00,,,,-57,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:29:23-04:00,22.5006,55.8495,4.0293,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:29:25-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:30:24-04:00,22.4872,55.8144,4.0293,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:30:26-04:00,,,,-54,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:31:25-04:00,22.5006,55.8831,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:31:27-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
