Timestamp,Temperature (°C),Humidity (%),Pressure (hPa),Gas Resistance (Ω),Violet (450nm),Blue (500nm),Green (550nm),Yellow (570nm),Orange (600nm),Red (650nm),Ambient Light (lux)
2025-06-04 17:14:23,22.83,50.53,1017.21,102400000.00,5.87,2.57,7.96,6.69,0.00,0.00,402.66
2025-06-04 17:15:24,22.82,50.58,1017.19,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,401.59
2025-06-04 17:16:24,22.81,50.62,1017.21,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,402.66
2025-06-04 17:17:24,22.80,50.73,1017.20,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,402.12
2025-06-04 17:18:24,22.78,50.69,1017.18,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,401.59
2025-06-04 17:19:24,22.78,50.74,1017.19,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,401.59
2025-06-04 17:20:24,22.77,50.73,1017.16,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,402.12
2025-06-04 17:21:25,22.77,50.77,1017.14,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,401.59
2025-06-04 17:22:25,22.76,50.78,1017.14,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,401.59
2025-06-04 17:23:25,22.74,50.92,1017.13,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,401.05
2025-06-04 17:24:25,22.73,50.93,1017.11,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,401.59
2025-06-04 17:25:25,22.72,51.00,1017.11,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,401.59
2025-06-04 17:26:26,22.73,50.89,1017.09,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,401.05
2025-06-04 17:27:26,22.74,50.88,1017.08,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,401.59
2025-06-04 17:28:26,22.75,50.88,1017.05,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,400.51
2025-06-04 17:29:26,22.76,50.83,1017.04,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,402.12
2025-06-04 17:30:26,22.76,50.91,1017.00,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,402.12
2025-06-04 17:31:27,22.76,50.88,1016.98,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,401.05
2025-06-04 17:32:27,22.76,50.87,1016.97,102400000.00,7.04,5.13,10.23,8.60,13.97,7.20,401.05
2025-06-04 17:33:27,22.77,50.78,1016.97,102400000.00,7.04,5.13,10.23,8.60,13.97,7.20,400.51
2025-06-04 17:34:27,22.78,50.78,1016.95,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,400.51
2025-06-04 17:35:27,22.79,50.77,1016.94,102400000.00,7.04,5.13,10.23,8.60,12.97,7.20,402.12
2025-06-04 17:36:27,22.78,50.89,1016.95,102400000.00,4.69,3.85,4.55,4.78,5.99,4.50,245.15
2025-06-04 17:37:28,22.77,50.82,1016.95,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,399.97
2025-06-04 17:38:28,22.77,50.86,1016.92,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,399.44
2025-06-04 17:39:28,22.75,50.96,1016.90,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,399.97
2025-06-04 17:40:28,22.73,50.92,1016.89,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,399.97
2025-06-04 17:41:28,22.73,50.90,1016.87,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,399.44
2025-06-04 17:42:29,22.72,50.98,1016.88,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,399.97
2025-06-04 17:43:29,22.73,50.85,1016.87,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,399.44
2025-06-04 17:44:29,22.73,50.88,1016.88,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,399.44
2025-06-04 17:45:29,22.74,50.90,1016.88,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,399.44
2025-06-04 17:46:29,22.73,50.94,1016.89,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,399.44
2025-06-04 17:47:30,22.72,50.98,1016.85,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,399.44
2025-06-04 17:48:30,22.71,51.03,1016.85,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,398.90
2025-06-04 17:49:30,22.70,51.08,1016.81,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,398.90
2025-06-04 17:50:30,22.69,51.10,1016.76,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,398.90
2025-06-04 17:51:30,22.68,51.08,1016.76,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,398.90
2025-06-04 17:52:30,22.68,51.12,1016.75,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,398.90
2025-06-04 17:53:31,22.68,51.11,1016.74,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,398.36
2025-06-04 17:54:31,22.68,51.15,1016.72,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,398.36
2025-06-04 17:55:31,22.67,51.23,1016.70,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,398.36
2025-06-04 17:56:31,22.65,51.33,1016.71,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,397.82
2025-06-04 17:57:31,22.65,51.35,1016.72,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,397.82
2025-06-04 17:58:32,22.68,51.19,1016.72,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,397.82
2025-06-04 17:59:32,22.70,51.25,1016.74,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,397.82
2025-06-04 18:00:32,22.72,51.27,1016.74,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,397.82
2025-06-04 18:01:32,22.75,51.13,1016.72,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,397.29
2025-06-04 18:02:32,22.78,51.19,1016.72,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,397.29
2025-06-04 18:03:33,22.80,51.11,1016.67,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,397.29
2025-06-04 18:04:33,22.83,51.05,1016.65,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,397.82
2025-06-04 18:05:33,22.86,51.01,1016.61,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,397.29
2025-06-04 18:06:33,22.89,50.92,1016.60,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,396.75
2025-06-04 18:07:33,22.92,50.78,1016.61,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,396.75
2025-06-04 18:08:33,22.96,50.75,1016.57,102400000.00,7.04,5.13,10.23,8.60,12.97,6.30,396.21
