created_at,"field1(Temperature ºC )",field2(Humidity),field3(Light),field4(Voltage),"field5(WIFI RSSI)",field6(),field7(),"field8(External Temperature Probe ºC )",field9(),field10(),field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc,vfield1
2025-06-04T18:14:51-04:00,24.7436,49.5598,405.75,2.7417,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.57
2025-06-04T18:14:55-04:00,,,,,-60,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:15:51-04:00,24.7704,49.5155,405.9,2.7417,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.59
2025-06-04T18:15:55-04:00,,,,,-60,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:16:51-04:00,24.757,49.4911,405.6,2.7417,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.58
2025-06-04T18:16:55-04:00,,,,,-60,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:17:51-04:00,24.7864,49.4926,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.61
2025-06-04T18:17:52-04:00,,,405.75,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:17:55-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:18:51-04:00,24.7997,49.4469,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.63
2025-06-04T18:18:52-04:00,,,405.75,2.7417,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:18:55-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:19:51-04:00,24.7997,49.4957,405.45,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.63
2025-06-04T18:19:56-04:00,,,,,-78,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:20:51-04:00,24.8425,49.5018,405.6,2.7417,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.67
2025-06-04T18:20:55-04:00,,,,,-73,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:21:51-04:00,24.8692,49.4469,405.6,2.7417,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.71
2025-06-04T18:21:55-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:22:51-04:00,24.8825,49.4499,405.9,2.7417,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.72
2025-06-04T18:22:55-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:23:51-04:00,24.8825,49.4499,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.72
2025-06-04T18:23:52-04:00,,,406.05,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:23:55-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:24:51-04:00,24.8985,49.4972,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.74
2025-06-04T18:24:52-04:00,,,405.6,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:24:55-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:25:51-04:00,24.9546,49.4224,405.6,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.79
2025-06-04T18:25:55-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:26:51-04:00,24.9386,49.3996,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.78
2025-06-04T18:26:52-04:00,,,405.3,2.7417,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:26:55-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:27:51-04:00,24.9813,49.3812,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.82
2025-06-04T18:27:52-04:00,,,405.3,2.7417,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:27:55-04:00,,,,,-60,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:28:51-04:00,24.9546,49.3767,405.15,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.79
2025-06-04T18:28:55-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:29:51-04:00,24.9546,49.4224,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.79
2025-06-04T18:29:52-04:00,,,405,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:29:55-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:30:51-04:00,25.0267,49.34,404.85,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.87
2025-06-04T18:30:55-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:31:51-04:00,25.0134,49.3141,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.86
2025-06-04T18:31:52-04:00,,,405,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:31:55-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:32:51-04:00,24.9947,49.369,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.84
2025-06-04T18:32:52-04:00,,,404.85,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:32:55-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:33:51-04:00,25.0401,49.3172,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.89
2025-06-04T18:33:52-04:00,,,404.55,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:33:55-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:34:51-04:00,25.0401,49.3172,404.55,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.89
2025-06-04T18:34:55-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:35:52-04:00,25.0694,49.3217,404.1,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.92
2025-06-04T18:35:56-04:00,,,,,-62,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:36:52-04:00,25.1255,49.2714,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.98
2025-06-04T18:36:53-04:00,,,404.1,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
