created_at,"field1(Temperature ºC )",field2(Humidity),field3(Light),field4(Voltage),"field5(WIFI RSSI)",field6(),field7(),"field8(External Temperature Probe ºC )",field9(),field10(),field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc,vfield1
2025-05-28T13:24:55-04:00,,,,,-36,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T13:24:41-04:00,,55.1736,0.45,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T13:24:40-04:00,21.5873,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T13:19:56-04:00,,,,,-34,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T13:19:41-04:00,,55.1675,0.45,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T13:19:40-04:00,21.4725,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T13:14:56-04:00,,,,,-27,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T13:14:40-04:00,21.4725,55.1232,12.15,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,21.12
2025-05-28T13:09:56-04:00,,,,,-30,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T13:09:41-04:00,,55.1827,12,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T13:09:40-04:00,21.4591,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T13:04:56-04:00,,,,,-30,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T13:04:41-04:00,21.4458,55.2682,12,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,21.09
2025-05-28T12:59:56-04:00,,,,,-29,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T12:59:40-04:00,21.4164,55.3597,12,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,21.06
2025-05-28T12:54:55-04:00,,,,,-32,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T12:54:41-04:00,,55.4147,11.85,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T12:54:40-04:00,21.4031,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T12:49:55-04:00,,,,,-30,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T12:49:40-04:00,21.3764,55.4513,11.85,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,21.02
2025-05-28T12:44:55-04:00,,,,,-34,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T12:44:40-04:00,,,11.85,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T12:44:39-04:00,21.3336,55.6039,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.97
2025-05-28T12:39:55-04:00,,,,,-30,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T12:39:40-04:00,,55.6359,11.85,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T12:39:39-04:00,21.3203,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T12:34:54-04:00,,,,,-34,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T12:34:39-04:00,21.2642,55.7321,11.85,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.9
2025-05-28T12:29:54-04:00,,,,,-33,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T12:29:40-04:00,,55.8099,12,2.8416,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T12:29:39-04:00,21.2776,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T12:24:54-04:00,,,,,-32,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T12:24:40-04:00,21.2215,55.8648,12,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.86
2025-05-28T12:19:53-04:00,,,,,-31,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T12:19:39-04:00,21.1921,55.9594,11.85,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.83
2025-05-28T12:14:53-04:00,,,,,-34,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T12:14:40-04:00,,56.0143,11.85,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T12:14:39-04:00,21.1334,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T12:09:53-04:00,,,,,-31,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T12:09:39-04:00,21.0773,56.0479,12,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.71
2025-05-28T12:04:52-04:00,,,,,-37,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T12:04:40-04:00,,56.0281,11.85,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T12:04:39-04:00,21.0212,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:59:53-04:00,,,,,-35,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:59:40-04:00,20.9812,56.0204,12,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.6
2025-05-28T11:54:53-04:00,,,,,-32,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:54:39-04:00,20.9384,55.9594,12.3,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.55
2025-05-28T11:49:51-04:00,,,,,-31,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:49:40-04:00,,55.8175,12.45,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:49:39-04:00,20.853,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:44:52-04:00,,,,,-32,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:44:40-04:00,20.8824,55.7137,0.3,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.48
2025-05-28T11:39:51-04:00,,,,,-33,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
