created_at,"field1(Temperature ºC )",field2(Humidity),field3(Voltage),"field4(WIFI RSSI)",field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-06-02T11:29:40-04:00,22.7249,34.966,4.0922,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:29:42-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:30:40-04:00,22.7382,34.9691,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:30:41-04:00,,,,-44,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:31:39-04:00,22.7516,34.9157,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:31:41-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:32:40-04:00,22.7382,34.8745,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:32:42-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:33:40-04:00,22.7249,34.9279,4.0922,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:33:41-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:34:39-04:00,22.6955,34.9371,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:34:41-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:35:40-04:00,22.6955,35.0561,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:35:42-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:36:41-04:00,22.6822,35.1339,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:36:43-04:00,,,,-44,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:37:40-04:00,22.6528,35.2621,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:37:43-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:38:41-04:00,22.6394,35.2895,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:38:43-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:39:42-04:00,22.6394,35.3536,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:39:44-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:40:41-04:00,22.6127,35.2987,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:40:43-04:00,,,,-40,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:41:42-04:00,22.6394,35.3399,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:41:44-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:42:43-04:00,22.7249,35.23,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:42:45-04:00,,,,-39,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:43:43-04:00,22.781,35.0378,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:43:44-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:44:43-04:00,22.8397,34.8562,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:44:45-04:00,,,,-70,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
