created_at,"field1(Temperature ºC )",field2(Humidity),field3(Light),field4(Voltage),"field5(WIFI RSSI)",field6(),field7(),"field8(External Temperature Probe ºC )",field9(),field10(),field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc,vfield1
2025-06-02T11:28:27-04:00,23.5046,33.6919,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,22.79
2025-06-02T11:28:28-04:00,,,346.35,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:28:31-04:00,,,,,-37,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:29:27-04:00,23.5473,33.6187,,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,22.83
2025-06-02T11:29:28-04:00,,,347.4,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:29:31-04:00,,,,,-40,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:30:27-04:00,23.518,33.5637,,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,22.8
2025-06-02T11:30:28-04:00,,,346.95,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:30:31-04:00,,,,,-38,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:31:27-04:00,23.4886,33.5241,,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,22.77
2025-06-02T11:31:28-04:00,,,346.8,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:31:31-04:00,,,,,-37,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:32:27-04:00,23.4752,33.5973,,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,22.76
2025-06-02T11:32:28-04:00,,,347.7,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:32:31-04:00,,,,,-40,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:33:27-04:00,23.4485,33.5958,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,22.73
2025-06-02T11:33:28-04:00,,,343.95,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:33:31-04:00,,,,,-40,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:34:27-04:00,23.4619,33.5836,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,22.74
2025-06-02T11:34:28-04:00,,,346.8,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:34:31-04:00,,,,,-37,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:35:27-04:00,23.4485,33.6095,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,22.73
2025-06-02T11:35:28-04:00,,,343.35,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:35:31-04:00,,,,,-40,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:36:27-04:00,23.4325,33.6706,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,22.71
