Timestamp,Temperature (°C),Humidity (%),Pressure (hPa),Gas Resistance (Ω),Violet (450nm),Blue (500nm),Green (550nm),Yellow (570nm),Orange (600nm),Red (650nm),Ambient Light (lux)
2025-06-02 10:47:14,27.78,23.04,1013.66,102400000.00,3.52,6.42,12.50,14.33,0.00,0.00,412.88
2025-06-02 10:48:15,27.83,22.70,1013.67,102400000.00,5.87,7.70,14.78,15.28,18.96,12.61,419.87
2025-06-02 10:49:15,28.00,22.42,1013.64,102400000.00,5.87,7.70,14.78,15.28,18.96,12.61,418.25
2025-06-02 10:50:15,28.33,22.04,1013.66,102400000.00,5.87,7.70,14.78,15.28,18.96,12.61,407.50
2025-06-02 10:51:15,29.10,21.07,1013.62,102400000.00,5.87,7.70,13.64,15.28,17.96,11.71,456.42
2025-06-02 10:52:15,29.07,21.04,1013.65,102400000.00,5.87,7.70,13.64,14.33,17.96,11.71,455.35
2025-06-02 10:53:16,28.80,21.49,1013.66,102400000.00,5.87,7.70,14.78,16.24,19.96,13.51,454.27
2025-06-02 10:54:16,28.64,21.50,1013.66,102400000.00,5.87,7.70,14.78,16.24,19.96,13.51,450.51
2025-06-02 10:55:16,28.43,21.71,1013.66,102400000.00,5.87,7.70,14.78,16.24,19.96,12.61,447.28
2025-06-02 10:56:16,28.07,22.28,1013.67,102400000.00,5.87,7.70,14.78,15.28,19.96,12.61,446.75
2025-06-02 10:57:16,27.61,22.73,1013.62,102400000.00,5.87,7.70,13.64,15.28,18.96,12.61,445.67
2025-06-02 10:58:17,27.31,22.97,1013.62,102400000.00,5.87,7.70,13.64,15.28,18.96,12.61,446.21
2025-06-02 10:59:17,27.14,23.28,1013.59,102400000.00,5.87,7.70,13.64,14.33,17.96,11.71,447.82
2025-06-02 11:00:17,27.11,23.25,1013.58,102400000.00,5.87,7.70,13.64,15.28,18.96,12.61,447.28
2025-06-02 11:01:17,26.98,23.57,1013.55,102400000.00,5.87,7.70,14.78,16.24,19.96,13.51,438.68
2025-06-02 11:02:17,27.07,23.75,1013.58,102400000.00,5.87,7.70,13.64,15.28,18.96,12.61,401.05
2025-06-02 11:03:17,27.22,23.32,1013.55,102400000.00,5.87,7.70,14.78,15.28,19.96,12.61,387.61
2025-06-02 11:04:18,27.56,22.81,1013.59,102400000.00,5.87,8.98,14.78,16.24,19.96,13.51,444.60
2025-06-02 11:05:18,27.80,22.86,1013.57,102400000.00,4.69,7.70,12.50,14.33,16.97,10.81,384.38
2025-06-02 11:06:18,28.36,22.18,1013.57,102400000.00,4.69,7.70,12.50,13.37,15.97,10.81,391.91
2025-06-02 11:07:16,28.11,22.60,1013.60,102400000.00,3.52,6.42,12.50,13.37,0.00,0.00,377.93
2025-06-02 11:08:17,28.24,22.21,1013.56,102400000.00,5.87,7.70,13.64,14.33,17.96,11.71,382.23
2025-06-02 11:09:17,28.78,21.63,1013.56,102400000.00,5.87,7.70,13.64,14.33,17.96,11.71,379.01
2025-06-02 11:10:18,29.36,21.36,1013.52,102400000.00,3.52,6.42,11.37,13.37,0.00,0.00,386.53
2025-06-02 11:11:19,29.29,21.02,1013.54,102400000.00,5.87,7.70,13.64,14.33,17.96,11.71,327.94
2025-06-02 11:12:19,29.04,21.93,1013.54,102400000.00,4.69,6.42,12.50,13.37,15.97,10.81,388.68
2025-06-02 11:13:19,28.76,21.87,1013.57,102400000.00,5.87,7.70,13.64,15.28,17.96,11.71,358.04
2025-06-02 11:14:19,29.12,21.15,1013.58,102400000.00,5.87,7.70,13.64,14.33,17.96,11.71,356.43
2025-06-02 11:15:19,30.00,19.12,1013.65,102400000.00,5.87,7.70,14.78,15.28,18.96,12.61,405.89
2025-06-02 11:18:16,31.41,19.35,1013.72,102400000.00,3.52,6.42,12.50,13.37,0.00,0.00,401.59
2025-06-02 11:19:16,31.39,19.03,1013.71,102400000.00,5.87,7.70,13.64,15.28,18.96,11.71,404.28
2025-06-02 11:20:16,31.45,18.93,1013.71,102400000.00,4.69,7.70,12.50,13.37,15.97,10.81,419.87
2025-06-02 11:21:17,31.43,19.07,1013.70,102400000.00,5.87,7.70,12.50,14.33,16.97,11.71,419.87
2025-06-02 11:22:17,31.27,19.31,1013.71,102400000.00,5.87,7.70,13.64,14.33,17.96,11.71,420.40
2025-06-02 11:23:17,31.16,19.18,1013.74,102400000.00,4.69,7.70,12.50,13.37,16.97,10.81,417.72
2025-06-02 11:24:17,31.10,19.34,1013.73,102400000.00,4.69,6.42,12.50,13.37,16.97,10.81,410.73
2025-06-02 11:25:17,30.99,19.31,1013.71,102400000.00,4.69,6.42,11.37,12.42,14.97,9.91,383.85
2025-06-02 11:26:18,30.78,19.97,1013.70,102400000.00,4.69,7.70,12.50,13.37,16.97,10.81,424.70
2025-06-02 11:27:18,30.46,20.29,1013.71,102400000.00,4.69,6.42,12.50,13.37,15.97,9.91,418.79
2025-06-02 11:28:18,30.12,21.13,1013.73,102400000.00,4.69,7.70,12.50,13.37,16.97,10.81,418.79
2025-06-02 11:29:18,29.75,21.43,1013.71,102400000.00,4.69,6.42,12.50,13.37,16.97,10.81,339.76
2025-06-02 11:30:18,29.53,21.26,1013.71,102400000.00,4.69,6.42,12.50,13.37,15.97,10.81,347.83
2025-06-02 11:31:19,29.55,21.50,1013.69,102400000.00,4.69,6.42,11.37,13.37,15.97,9.91,299.44
2025-06-02 11:32:19,29.91,19.84,1013.71,102400000.00,5.87,7.70,13.64,14.33,17.96,11.71,422.02
